WISE DATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TESTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DEFECTO OBSERVADO;ACEPTACION ANCHO DE NUGGET;;;;DEFECTOS;;;;;;;;;;;;;;;;;;;;Q1;Q2;Q3;Q total;METODO DE ANALISIS (Desbotonado/Macro)
ID;tTimer;tProgram;nProgram;FBH;FBL;ContPtos;ContFr;Ns;Curv_I;Curv_V;Fecha;SrrQual;SrrCoef;SrrGap;CCoef;CGap;CSel;Patron;kAI1;kAI2;kAI3;PreI;Apr;Ts1;Tf1;SlUp;Ts2;SlDn;Tf3;Ts3;Enf;ksr;Ief;Vef;VefTs1;Energy;Tf2;tKsr;Tsw1;Tsw2;Tsw3;Proj_Weld_PwDn;Proj_Weld_Time;Proj_Weld_T;Proj_Tst_PwDn;Proj_Tst_Time;Proj_Tst_T;Proj_Sel;CodeErr;CodPza;Code;TpcEnPatr;;PROBETA;DESCRIPTION;OF;THCK_1;THCK_2;THCK_3;THCK_4;THCK_5;MCAP DIAM;UCAP DIAM;ALLOY;WELDING PROG.;WELDING INTENSITY (kA);WELDING FORCE (daN);CHISEL TEST;;;METALLOGRAPHIC TEST;;;;;;;;;;;;;;;;;Modos de fractura desbotonado;;;;;;;Indicaciones en macroinspeccion;;;;;;;;;;;TOTAL;CARACTERIZACION POR CLASE (0:Sin defecto/ 1: Expulsion /2:Pegado y Diam. Peq.);;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NUGGET D1;NUGGET D2;AVG;MIN NUGGET WIDT;MIN PENETRATION_1;;MIN PENETRATION_5;;MAX PENETRATION THCK_1;;MAX PENETRATION THCK_5 / TOTAL;;INDENT_1;INDENT_5;TAMANO CAVIDAD (Nimonic 75);"OTHERS (CRACKS; CAVITIES; ETC)";DIAM AND WIDT NUGGET;;ANCHO MINIMO RQSC08T-4001;;2;3;4;5;6;7;8;Expulsion interior;Expulsion exterior;Indentacion excesiva;Pegado (fusion incompleta);Cavidad;Penetracion desigual;Nugget desplazado;Lados nugget concavos;Grieta central nugget;Grieta nugget;Grieta material base;;;;;;;
127673;R1_ITP;60;60;0;60;504;0;15;"117;197;253;342;412;448;473;489;518;536;550;552;557;557;557;";"80;169;262;360;470;567;635;686;715;724;715;703;711;690;690;";20/05/2024;0;0;0;;;;FALSO;0,01;5,0;0,01;0;2000;0;10;0;30;0;10;0;2000;2;5,28;546;0;65;0;CC;0;30;0;;;;;;;FALSO;;;;;;9;;;1,2;0;0;0;1,2;5,5;6;CP Ti Gr3;60;5,0;200;4,135;4,135;4,135;;;0%;;0%;;;;;;;;Full Interfacial Fracture;4,135; ;4,57;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;375;0;0;375;D
127675;R1_ITP;60;60;0;60;506;0;15;"92;154;212;332;430;466;489;507;539;550;550;550;550;548;548;";"101;211;313;406;508;597;656;694;711;720;715;690;694;669;669;";20/05/2024;0;0;0;;;;FALSO;0,01;5,0;0,01;0;2000;0;10;0;30;0;10;0;2000;2;5,33;559;0;67;0;CC;0;30;0;;;;;;;FALSO;;;;;;10;;;1,2;0;0;0;1,2;5,5;6;CP Ti Gr3;60;5,0;200;4,24;4,02;4,1305;;;0%;;0%;;;;;;;;Full Interfacial Fracture;4,1305; ;4,57;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;375;0;0;375;D
127677;R1_ITP;60;60;0;60;508;0;15;"158;253;321;425;523;582;616;645;659;663;665;645;668;622;622;";"110;228;343;461;571;656;711;737;745;732;711;686;690;669;669;";20/05/2024;0;0;0;;;;FALSO;0,01;6,0;0,01;0;2000;0;10;0;30;0;10;0;2000;2;6,41;584;0;86;0;CC;0;30;0;;;;;;;FALSO;;;;;;11;;;1,2;0;0;0;1,2;5,5;6;CP Ti Gr3;60;6,0;200;4,518;4,455;4,4865;;;0%;;0%;;;;;;;;Full Interfacial Fracture;4,4865; ;4,57;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;540;0;0;540;D
127679;R1_ITP;60;60;0;60;510;0;15;"154;249;312;430;536;593;625;643;656;654;654;647;661;641;641;";"110;232;351;457;563;643;690;715;720;707;694;673;682;656;656;";20/05/2024;0;0;0;;;;FALSO;0,01;6,0;0,01;0;2000;0;10;0;30;0;10;0;2000;2;6,36;571;0;84;0;CC;0;30;0;;;;;;;FALSO;;;;;;12;;;1,2;0;0;0;1,2;5,5;6;CP Ti Gr3;60;6,0;200;4,51;4,79;4,65;;;0%;;0%;;;;;;;;Full Interfacial Fracture;4,651; ;4,57;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;540;0;0;540;D
127681;R1_ITP;60;60;0;60;512;0;15;"197;308;378;518;654;718;761;774;786;776;756;747;742;754;754;";"127;271;406;525;631;711;754;762;749;724;690;660;673;639;639;";20/05/2024;0;0;0;;;;FALSO;0,01;7,0;0,01;0;2000;0;10;0;30;0;10;0;2000;2;7,46;601;0;107;0;CC;0;30;0;;;;;;;FALSO;;;;;;13;;;1,2;0;0;0;1,2;5,5;6;CP Ti Gr3;60;7,0;200;4,901;4,769;4,835;;;0%;;0%;;;;;;;;Partial Interfacial Fracture With Button Pull;4,835; ;4,57;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;735;0;0;735;D
127683;R1_ITP;60;60;0;60;514;0;15;"192;303;376;523;659;727;761;772;781;772;767;752;767;738;738;";"131;279;419;538;643;715;754;758;741;720;694;660;669;631;631;";20/05/2024;0;0;0;;;;FALSO;0,01;7,0;0,01;0;2000;0;10;0;30;0;10;0;2000;2;7,47;601;0;107;0;CC;0;30;0;;;;;;;FALSO;;;;;;14;;;1,2;0;0;0;1,2;5,5;6;CP Ti Gr3;60;7,0;200;4,974;5,058;5,016;;;0%;;0%;;;;;;;;Partial Interfacial Fracture With Button Pull;5,016; ;4,57;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;735;0;0;735;D
127685;R1_ITP;60;60;0;60;516;0;15;"246;373;448;609;761;842;894;901;906;894;876;858;865;853;853;";"131;296;461;593;711;783;813;809;779;749;711;669;694;639;639;";20/05/2024;0;0;0;;;;FALSO;0,01;8,0;0,01;0;2000;0;10;0;30;0;10;0;2000;2;8,58;639;0;132;0;CC;0;30;0;;;;;;;FALSO;;;;;;15;;;1,2;0;0;0;1,2;5,5;6;CP Ti Gr3;60;8,0;200;4,957;4,9;4,9285;;;0%;;0%;;;;;;;;Sin defectos;4,9285; ;4,57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;960;0;0;960;D
127687;R1_ITP;60;60;0;60;518;0;15;"231;378;477;613;763;844;881;903;899;890;874;851;867;829;829;";"144;305;461;597;711;783;813;800;775;749;715;669;686;643;643;";20/05/2024;0;0;0;;;;FALSO;0,01;8,0;0,01;0;2000;0;10;0;30;0;10;0;2000;2;8,54;639;0;131;0;CC;0;30;0;;;;;;;FALSO;;;;;;16;;;1,2;0;0;0;1,2;5,5;6;CP Ti Gr3;60;8,0;200;5,05;4,942;4,996;;;0%;;0%;;;;;;;;Sin defectos;4,996; ;4,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;960;0;0;960;D
129391;R1_ITP;60;60;0;60;692;0;20;"258;443;601;712;841;971;1008;1017;1008;998;980;961;952;934;924;924;924;906;943;943;";"152;338;521;660;762;830;855;851;817;766;711;669;639;614;588;563;542;546;529;529;";21/05/2024;0;0;0;;;;FALSO;0,01;9,0;0,01;0;2000;0;10;0;40;0;10;0;2000;2;9,37;648;0;211;0;CC;0;40;0;;;;;;;FALSO;;;;;;17;;;1,2;0;0;0;1,2;5,5;6;CP Ti Gr3;60;9,0;200;6,253;6,295;6,274;;;0%;;0%;;;;;;;;Sin defectos;6,274; ;4,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1620;0;0;1620;D
129393;R1_ITP;60;60;0;60;694;0;20;"277;471;610;702;832;961;1017;1017;998;989;980;971;943;924;924;934;924;924;943;943;";"169;347;512;643;754;821;834;826;813;762;720;686;648;614;584;563;554;563;542;542;";21/05/2024;0;0;0;;;;FALSO;0,01;9,0;0,01;0;2000;0;10;0;40;0;10;0;2000;2;9,32;643;0;211;0;CC;0;40;0;;;;;;;FALSO;;;;;;18;;;1,2;0;0;0;1,2;5,5;6;CP Ti Gr3;60;9,0;200;6,434;6,699;6,5665;;;0%;;0%;;;;;;;;Sin defectos;6,5665; ;4,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1620;0;0;1620;D
