iter	Passed	Remaining
0	1	994
1	3	949
2	5	939
3	7	963
4	9	953
5	11	934
6	12	910
7	14	897
8	16	886
9	17	881
10	19	878
11	21	868
12	23	864
13	24	859
14	26	855
15	28	848
16	29	841
17	31	837
18	32	834
19	34	833
20	37	847
21	39	853
22	41	853
23	42	850
24	44	849
25	46	847
26	48	842
27	50	845
28	51	841
29	53	837
30	55	835
31	56	830
32	58	825
33	59	820
34	61	815
35	62	810
36	64	805
37	65	801
38	67	797
39	69	793
40	70	788
41	72	785
42	73	781
43	74	776
44	76	774
45	78	772
46	79	769
47	81	766
48	82	763
49	84	759
50	85	757
51	87	753
52	88	750
53	90	747
54	91	744
55	93	742
56	95	739
57	96	737
58	98	734
59	99	731
60	101	728
61	102	725
62	104	722
63	107	733
64	109	732
65	111	730
66	112	728
67	114	725
68	115	722
69	117	721
70	119	719
71	120	717
72	122	716
73	124	715
74	125	713
75	127	711
76	129	711
77	131	709
78	133	708
79	134	707
80	136	706
81	138	704
82	140	704
83	142	703
84	143	702
85	145	701
86	147	700
87	149	699
88	151	697
89	152	696
90	154	693
91	155	690
92	157	689
93	159	687
94	160	685
95	162	682
96	163	680
97	165	678
98	166	676
99	168	673
100	169	671
101	171	669
102	173	666
103	174	664
104	176	662
105	178	661
106	180	663
107	182	661
108	183	659
109	185	656
110	186	654
111	188	652
112	189	650
113	191	648
114	193	646
115	194	644
116	196	642
117	197	639
118	199	637
119	200	635
120	202	633
121	203	631
122	205	629
123	207	628
124	208	626
125	210	624
126	212	622
127	213	620
128	215	618
129	216	616
130	218	614
131	219	612
132	221	610
133	222	608
134	224	606
135	225	604
136	227	602
137	229	600
138	230	599
139	232	597
140	233	595
141	235	593
142	237	591
143	238	589
144	239	587
145	241	585
146	242	583
147	244	581
148	246	579
149	247	577
150	248	575
151	250	572
152	251	570
153	252	568
154	254	565
155	255	563
156	257	561
157	258	560
158	260	558
159	261	555
160	262	553
161	264	551
162	265	548
163	266	546
164	268	544
165	269	542
166	271	540
167	272	539
168	274	537
169	275	535
170	277	533
171	278	530
172	279	528
173	281	527
174	283	525
175	284	524
176	286	521
177	287	520
178	289	519
179	291	517
180	292	515
181	294	514
182	295	512
183	297	510
184	298	508
185	299	506
186	301	504
187	302	502
188	304	500
189	305	498
190	307	496
191	308	495
192	310	493
193	311	491
194	312	489
195	314	487
